<UNK> 1.0	sil
ವ್ಯಾಜ್ಯಗಳ 1.0	w eu y aa j eu y g lx 
ನಿರ್ಧಾರ 1.0	n i r eu dh aa r 
ಸುಲಭವಾಗುತ್ತದೆ 1.0	s u l bh w aa g u t eu t d e 
ಬಾನಗಾಡಿಗಳಾದ 1.0	b aa n g aa dx i g lx aa d 
ಡಿಸ್ಕವರಿ 1.0	dx i s eu k w r i 
ಸಾಧನೆಯ 1.0	s aa dh n e y 
ಚ್ಯಾಂಪಿಯನ್ಷಿಪ್ 1.0	c eu y aa q p i y n eu sx i p eu 
ಗೆದ್ದರು 1.0	g e d eu d r u 
ವ್ಯತಿರಿಕ್ತವಾಗಿ 1.0	w eu y t i r i k eu t w aa g i 
ಸ್ಪರ್ಧಿಗಳು 1.0	s eu p r eu dh i g lx u 
ಜಾಲದ್ವಾರಗಳಲ್ಲಿಯೇ 1.0	j aa l d eu w aa r g lx l eu l i y ee 
ಯಂತ್ರವನ್ನು 1.0	y q t eu r w n eu n u 
ಅಳವಡಿಸಿದವು 1.0	a lx w dx i s i d w u 
ಅಂಗಾಂಶಗಳು 1.0	a q g aa q sh g lx u 
ಸ್ನಾಯುಗಳು 1.0	s eu n aa y u g lx u 
ಉಷ್ಣವಾದ 1.0	u sx eu nx w aa d 
ಹವೆ 1.0	h w e 
ಜನಾಂಗದಲ್ಲಿ 1.0	j n aa q g d l eu l i 
ಮೃತದೇಹಗಳನ್ನು 1.0	m rq t d ee h g lx n eu n u 
ತ್ಯಜಿಸುವ 1.0	t eu y j i s u w 
ಹೆಂಡತಿ 1.0	h e q dx t i 
ಮಕ್ಕಳನ್ನು 1.0	m k eu k lx n eu n u 
ಮಾರಿಕೊಳ್ಳುವ 1.0	m aa r i k o lx eu lx u w 
ಪ್ರಚಲಿತವಿತ್ತೆಂದು 1.0	p eu r c l i t w i t eu t e q d u 
ಮಹಾಭಾರತದಿಂದ 1.0	m h aa bh aa r t d i q d 
ತಿಳಿದುಬರುತ್ತದೆ 1.0	t i lx i d u b r u t eu t d e 
ಸೈದ್ಧಾಂತಿಕವಾಗಿ 1.0	s ai d eu dh aa q t i k w aa g i 
ಬಲಗಳೂ 1.0	b l g lx uu 
ಶಕ್ತಿಗೆ 1.0	sh k eu t i g e 
ಪೂರಕವಾಗಿರುತ್ತವೆ 1.0	p uu r k w aa g i r u t eu t w e 
ಮಿತಿಮೀರಿರುವುದರಿಂದ 1.0	m i t i m ii r i r u w u d r i q d 
ಕಡಿಮೆಯಾಗುತ್ತಿದೆ 1.0	k dx i m e y aa g u t eu t i d e 
ಚಿಕಿತ್ಸೆಯಲ್ಲಿ 1.0	c i k i t eu s e y l eu l i 
ಕತ್ತಿ 1.0	k t eu t i 
ಶಲ್ಯಗಳು 1.0	sh l eu y g lx u 
ಸೋಕಿದರೆ 1.0	s ii i d r e 
ಅಪಾಯ 1.0	a p aa y 
ಸಸ್ಯರಸ 1.0	s s eu y r s 
ಹಿಂಡಿದ 1.0	h i q dx i d 
ಒಂದೆರಡು 1.0	o q d e r dx u 
ತೊಟ್ಟು 1.0	t o tx eu tx u 
ವರ್ಗದಲ್ಲಿ 1.0	w r eu g d l eu l i 
ನಿರ್ದೇಶಕ 1.0	n i r eu d ee sh k 
ಇರಲೇಬೇಕೆಂದು 1.0	i r l ee b ee k e q d u 
ಸೂಚಿಸಬಹುದು 1.0	s uu c i s b h u d u 
ನಿಯಮಿಸಬಹುದು 1.0	n i y m i s b h u d u 
ಮೋಜಣಿಗೆ 1.0	m ii nx i g e 
ಮೋಜಣಿ 1.0	m ii nx i 
ಮೊಳೆಯುತ್ತಿರುವುದು 1.0	m o lx e y u t eu t i r u w u d u 
ಚಳ್ಳೆಹಣ್ಣಿನಂತೆ 1.0	c lx eu lx e h nx eu nx i n q t e 
ತಿರುಳು 1.0	t i r u lx u 
ನುಣುಪು 1.0	n u nx u p u 
ಸಾಧ್ಯತೆಯಿರುತ್ತದೆ 1.0	s aa dh eu y t e y i r u t eu t d e 
ವ್ಯತ್ಯಾಸದ 1.0	w eu y t eu y aa s d 
ವರ್ಗೀಕರಣ 1.0	w r eu g ii k r nx 
ಸ್ನಾತಕೋತ್ತರ 1.0	s eu n aa t k ii eu t r 
ಉತ್ಪಾದಕರ 1.0	u t eu p aa d k r 
ವ್ಯಾಪಾರಿಗಳ 1.0	w eu y aa p aa r i g lx 
ಕ್ಷಣದ 1.0	k eu sx nx d 
ಪುರೈಸುತ್ತದೆ 1.0	p u r ai s u t eu t d e 
ಸತುವಿನ 1.0	s t u w i n 
ಬಂಧವಾಗಿದ್ದರ 1.0	b q dh w aa g i d eu d r 
ಪರಿಣಾಮದಿಂದುಂಟಾದ 1.0	p r i nx aa m d i q d u q tx aa d 
ವಿನ್ಯಾಸವಾಗಿರಬಹುದು 1.0	w i n eu y aa s w aa g i r b h u d u 
ವಾಯುಮಂಡಲವು 1.0	w aa y u m q dx l w u 
ಮಳೆಯಾದಾಗ 1.0	m lx e y aa d aa g 
ಹಳ್ಳ 1.0	h lx eu lx 
ತಗ್ಗುಗಳೆಲ್ಲ 1.0	t g eu g u g lx e l eu l 
ತುಂಬಿಹೋಗಿ 1.0	t u q b i h ii i 
ಕಾಣುತ್ತವೆ 1.0	k aa nx u t eu t w e 
ಎಲೆಗಳಲ್ಲಿ 1.0	e l e g lx l eu l i 
ಕಡಿಮೆಯಾಗಿರುತ್ತದೆ 1.0	k dx i m e y aa g i r u t eu t d e 
ನಿರ್ವಾಹಕ 1.0	n i r eu w aa h k 
ಉಪಸ್ಥಿತವಾಗಿವೆ 1.0	u p s eu th i t w aa g i w e 
ಲಕ್ಷ 1.0	l k eu sx 
ಮಹತ್ತರವಾದ 1.0	m h t eu t r w aa d 
ಅಂತರಿಕ್ಷವನ್ನೂ 1.0	a q t r i k eu sx w n eu n uu 
ದ್ಯಾವಾಪೃಥುವಿಗಳನ್ನೂ 1.0	d eu y aa w aa p rq th u w i g lx n eu n uu 
ತೇಜಸ್ಸಿನಿಂದ 1.0	t ee j s eu s i n i q d 
ತುಂಬಿದ್ದಾನೆ 1.0	t u q b i d eu d aa n e 
ಸಹಯೋಗಕ್ಕೆ 1.0	s h y ii k eu k e 
ಕಾಯಿದೆಯ 1.0	k aa y i d e y 
ಮಾನದಂಡಗಳು 1.0	m aa n d q dx g lx u 
ಅಸ್ಪಷ್ಟವಾಗಿವೆ 1.0	a s eu p sx eu tx w aa g i w e 
ನೃಪಕಾಮ 1.0	n rq p k aa m 
ಸೊಸವೂರಿನಿಂದ 1.0	s o s w uu r i n i q d 
ಆಳುತ್ತಿದ್ದ 1.0	aa lx u t eu t i d eu d 
ವಿವಿದ 1.0	w i w i d 
ನೀತಿನಿಯಮಗಳಿಂದ 1.0	n ii t i n i y m g lx i q d 
ಕೂಡಿದ್ದರೂ 1.0	k uu dx i d eu d r uu 
ರಾಷ್ಟ್ರಕ್ಕೆ 1.0	r aa sx eu tx eu r k eu k e 
ವ್ಯವಹಾರಿಕ 1.0	w eu y w h aa r i k 
ಲಾಭದಾಯಕವಾಗಿದೆ 1.0	l aa bh d aa y k w aa g i d e 
ರೋಗಿಗಳಿಗೆ 1.0	r ii i g lx i g e 
ಉಪಚರಿಸುವುದು 1.0	u p c r i s u w u d u 
ಮೀರಿರುತ್ತದೆ 1.0	m ii r i r u t eu t d e 
ಅಡುಗೆಮನೆಯು 1.0	a dx u g e m n e y u 
ಆಹಾರಕ್ಕೆ 1.0	aa h aa r k eu k e 
ಸಾಧನಗಳನ್ನು 1.0	s aa dh n g lx n eu n u 
ಶಾಂತಾದುರ್ಗಾ 1.0	sh aa q t aa d u r eu g aa 
ಶಾಂತಿ 1.0	sh aa q t i 
ನೆಮ್ಮದಿಯನ್ನು 1.0	n e m eu m d i y n eu n u 
ವಹಿಸಿಕೊಟ್ಟಿತ್ತು 1.0	w h i s i k o tx eu tx i t eu t u 
ವೈಮಾನಿಕ 1.0	w ai m aa n i k 
ಎಂಜಿನಿಯರಿಂಗ್ 1.0	e q j i n i y r i q g eu 
ಆರಂಭಿಕ 1.0	aa r q bh i k 
ತಿಳಿವಳಿಕೆಯ 1.0	t i lx i w lx i k e y 
ಜ್ಞಾನವು 1.0	j eu nj aa n w u 
ಪ್ರಾಯೋಗಿಕವಾಗಿತ್ತು 1.0	p eu r aa y ii i k w aa g i t eu t u 
ವಾಯುಬಲಶಾಸ್ತ್ರ 1.0	w aa y u b l sh aa s eu t eu r 
ಚರಿತ್ರೆಯಲ್ಲಿ 1.0	c r i t eu r e y l eu l i 
ಮಳೆಯೊಡನೆ 1.0	m lx e y o dx n e 
ಸೇವಿಸುವುದರಿಂದ 1.0	s ee w i s u w u d r i q d 
ದೇಹಪೋಷಣೆಗೆ 1.0	d ee h p ii nx e g e 
ಪ್ರೋಟೀನು 1.0	p eu r ii ii n u 
ಮೊದಲಾದ 1.0	m o d l aa d 
ಪೌಷ್ಠಿಕಾಂಶಗಳು 1.0	p au sx eu txh i k aa q sh g lx u 
ಪಾತ್ರವನ್ನರಿತು 1.0	p aa t eu r w n eu n r i t u 
ಗಟ್ಟಿಗನಾದವನಿಗೆ 1.0	g tx eu tx i g n aa d w n i g e 
ವಿದ್ಯಾದಾನ 1.0	w i d eu y aa d aa n 
ಮೊಬೈಲ್ 1.0	m o b ai l eu 
ಸರ್ವೀಸಿಂಗ್ 1.0	s r eu w ii s i q g eu 
ಸಿಸ್ಟಮ್ 1.0	s i s eu tx m eu 
ಸರಳವಾಗಿದೆಯೆಂದೂ 1.0	s r lx w aa g i d e y e q d uu 
ಅನುಕೂಲವಾಗಿದೆಯೆಂದೂ 1.0	a n u k uu l w aa g i d e y e q d uu 
ಲಿಪಿ 1.0	l i p i 
ಸಾಧಿಸಿದ 1.0	s aa dh i s i d 
ಮಹತ್ಕಾರ್ಯಗಳಲ್ಲಿ 1.0	m h t eu k aa r eu y g lx l eu l i 
ಚರಿತ್ರಾರ್ಹವಾದುವು 1.0	c r i t eu r aa r eu h w aa d u w u 
ಶಿಫಾರಸ್ಸಿನಂತೆ 1.0	sh i txh r s eu s i n q t e 
ಯಾವಾಗಳು 1.0	y aa w aa g lx u 
ನಿಶ್ಚಲ 1.0	n i sh eu c l 
ಸಹಭಾಗಿತ್ವದ 1.0	s h bh aa g i t eu w d 
ಯೋಜನೆಯ 1.0	y ii n e y 
ನಿರ್ವಹಿಸಲಾಗುತ್ತದೆ 1.0	n i r eu w h i s l aa g u t eu t d e 
ವಸ್ತುಗಳೊಂದಿಗೆ 1.0	w s eu t u g lx o q d i g e 
ನಿರೋಧಕ 1.0	n i r ii k 
ಸಿಮೆಂಟ್ 1.0	s i m e q tx eu 
ಇಂಗ್ಲೀಷ್ 1.0	i q g eu l ii sx eu 
ವ್ಯಾಪಾರಿಗಳಿಗೆ 1.0	w eu y aa p aa r i g lx i g e 
ಪ್ರಜನನಜೀವಕಣದ 1.0	p eu r j n n j ii w k nx d 
ಬೆಳೆವಣಿಗೆಯಲ್ಲಿನ 1.0	b e lx e w nx i g e y l eu l i n 
ಹಂತಗಳಿಗೂ 1.0	h q t g lx i g uu 
ಶ್ರೇಣಿಗಳನ್ನು 1.0	sh eu r ee nx i g lx n eu n u 
ಅನುಮತಿಯಿದೆಯೇ 1.0	a n u m t i y i d e y ee 
ಪ್ರಮಾಣಕಗಳು 1.0	p eu r m aa nx k g lx u 
ಅಥವ 1.0	a th w 
ಏನನ್ನು 1.0	ee n n eu n u 
ಸ್ಪಷ್ಟಗೊಳಿಸಿಲ್ಲ 1.0	s eu p sx eu tx g o lx i s i l eu l 
ಫಸಲೂ 1.0	txh l uu 
ಮೈಲಿಗಳಲ್ಲಿ 1.0	m ai l i g lx l eu l i 
ಘಟನೆಗಳಲ್ಲಿ 1.0	gh tx n e g lx l eu l i 
ನಾಗರಿಕರೂ 1.0	n aa g r i k r uu 
ಭಾಗವಹಿಸುವುದರಿಂದ 1.0	bh aa g w h i s u w u d r i q d 
ಹಿಂಸಾಕೃತ್ಯಗಳು 1.0	h i q s aa k rq t eu y g lx u 
ನಡೆಯುವುದರಿಂದ 1.0	n dx e y u w u d r i q d 
ಅಂತರ್ಯುದ್ಧಗಳೆಂದು 1.0	a q t r eu y u d eu dh g lx e q d u 
ಹೆಸರಾಗಿದೆ 1.0	h e s r aa g i d e 
ಅನಿಲ 1.0	a n i l 
ಟರ್ಬೈನ್ 1.0	tx r eu b ai n eu 
ವಾಣಿಜ್ಯ 1.0	w aa nx i j eu y 
ಕೈಗಾರಿಕ 1.0	k ai g aa r i k 
ಕೇಂದ್ರವಾಗಿ 1.0	k ee q d eu r w aa g i 
ಮೌರ್ಯಸಾಮ್ರಾಜ್ಯದ 1.0	m au r eu y s aa m eu r aa j eu y d 
ಮೂಲಗಳಿಂದ 1.0	m uu l g lx i q d 
ಭೂಮಿಯಲ್ಲಿರುವ 1.0	bh uu m i y l eu l i r u w 
ವ್ಯಕ್ತಿ 1.0	w eu y k eu t i 
ಪಡೆವಷ್ಟು 1.0	p dx e w sx eu tx u 
ದೇಶದಲ್ಲಿರುವ 1.0	d ee sh d l eu l i r u w 
ಸಂಖ್ಯಾಶಾಸ್ತ್ರಜ್ಞರನ್ನು 1.0	s q kh eu y aa sh aa s eu t eu r j eu nj r n eu n u 
ವ್ಯವಸ್ಥೆಗಳನ್ನು 1.0	w eu y w s eu th e g lx n eu n u 
ಇರಿಸಿಕೊಂಡು 1.0	i r i s i k o q dx u 
ಘಟಕಗಳಲ್ಲಿ 1.0	gh tx k g lx l eu l i 
ಹೆಚ್ಚಿನವುಗಳು 1.0	h e c eu c i n w u g lx u 
ಸೈದ್ಧಾಂತಿಕ 1.0	s ai d eu dh aa q t i k 
ಗಣಿತಶಾಸ್ತ್ರವನ್ನು 1.0	g nx i t sh aa s eu t eu r w n eu n u 
ಆಧರಿಸಿವೆ 1.0	aa dh r i s i w e 
ಸಂಕೀರ್ಣವಾಗಿರುವುದು 1.0	s q k ii r eu nx w aa g i r u w u d u 
ಪ್ರವಾಸ 1.0	p eu r w aa s 
ಮಾಡುವವರಿಗೆ 1.0	m aa dx u w w r i g e 
ಪಾಸ್ಪೋರ್ಟ್ 1.0	p aa s eu p ii eu tx eu 
ಅಂತರಿಕ್ಷದಿಂದ 1.0	a q t r i k eu sx d i q d 
ಸುರಿಯುವುದು 1.0	s u r i y u w u d u 
ಬೇಸಗೆಯಲ್ಲಿ 1.0	b ee s g e y l eu l i 
ಪೋಷಕವಸ್ತುವಿನ 1.0	p ii k w s eu t u w i n 
ಕೊರತೆಯಿದ್ದಾಗ 1.0	k o r t e y i d eu d aa g 
ಅಂತರ್ವ್ಯಾಪ್ತಿಗೆ 1.0	a q t r eu w eu y aa p eu t i g e 
ಆಯುರ್ವೇದವನ್ನು 1.0	aa y u r eu w ee d w n eu n u 
ಪ್ರಜಾಪತಿ 1.0	p eu r j aa p t i 
ದಕ್ಷನಿಗೆ 1.0	d k eu sx n i g e 
ಉಪದೇಶಿಸಿದ 1.0	u p d ee sh i s i d 
ಪರ್ವತ 1.0	p r eu w t 
ಸಾಲಿನಲ್ಲಿ 1.0	s aa l i n l eu l i 
ಜಲಜಶಿಲೆಗಳು 1.0	j l j sh i l e g lx u 
ಮೈದಳೆದಿವೆ 1.0	m ai d lx e d i w e 
ಪುರುಷರ 1.0	p u r u sx r 
ಅಂಡಮಾನಿನ 1.0	a q dx m aa n i n 
ಪುಲಗ 1.0	p u l g 
ವರುಣ 1.0	w r u nx 
ರೂಪವೆಂದು 1.0	r uu p w e q d u 
ತಿಳಿದುಬಂದಿದೆ 1.0	t i lx i d u b q d i d e 
ಐಸಿಇಎಸ್ 1.0	ai s i i e s eu 
ಕಾಂಡವನ್ನು 1.0	k aa q dx w n eu n u 
ಗಾಯಮಾಡಿದಾಗ 1.0	g aa y m aa dx i d aa g 
ಜಿನುಗುವ 1.0	j i n u g u w 
ಸೇರಿದುದು 1.0	s ee r i d u d u 
ಗೂಟ 1.0	g uu tx 
ರೆಂಬೆಗಳನ್ನು 1.0	r e q b e g lx n eu n u 
ತಾಯಿಗಿಡದಿಂದ 1.0	t aa y i g i dx d i q d 
ಪ್ರತ್ಯೇಕಿಸದೆ 1.0	p eu r t eu y ee k i s d e 
ಭೂಮಿಯಲ್ಲಿ 1.0	bh uu m i y l eu l i 
ಹೂಳಿ 1.0	h uu lx i 
ಸಸ್ಯಗಳನ್ನೇಳಿಸಬಹುದು 1.0	s s eu y g lx n eu n ee lx i s b h u d u 
ಸೇವೆಯು 1.0	s ee w e y u 
ಸಂಕೇತಕ್ಕೆ 1.0	s q k ee t k eu k e 
ಪೂರ್ವನಿಶ್ಚಿತ 1.0	p uu r eu w n i sh eu c i t 
ಸ್ಥಳನಾಮವನ್ನು 1.0	s eu th lx n aa m w n eu n u 
ನಿಗದಿಪಡಿಸುತ್ತದೆ 1.0	n i g d i p dx i s u t eu t d e 
ಮನೋವಿಜ್ಞಾನ 1.0	m n ii i j eu nj aa n 
ರಂಗದಲ್ಲಿ 1.0	r q g d l eu l i 
ಸ್ವರೂಪಾತ್ಮಕ 1.0	s eu w r uu p aa t eu m k 
ಪಂಥವನ್ನೇ 1.0	p q th w n eu n ee 
ರಚಿಸುವಲ್ಲಿ 1.0	r c i s u w l eu l i 
ಪಾಳಿ 1.0	p aa lx i 
ತ್ರಿಪಿಟಕಗಳಲ್ಲಿ 1.0	t eu r i p i tx k g lx l eu l i 
ಎರಡನೆಯದಾದ 1.0	e r dx n e y d aa d 
ಸುತ್ತಪಿಟಕದಲ್ಲಿ 1.0	s u t eu t p i tx k d l eu l i 
ಸೇರಿರುವ 1.0	s ee r i r u w 
ನಿಕಾಯಗಳಲ್ಲಿ 1.0	n i k aa y g lx l eu l i 
ನಾಲ್ಕನೆಯದು 1.0	n aa l eu k n e y d u 
ಹೈಜಂಪ್ 1.0	h ai j q p eu 
ಪಡೆದುಕೊಳ್ಳುವ 1.0	p dx e d u k o lx eu lx u w 
ಮಹಿಳಾ 1.0	m h i lx aa 
ಚ್ಯಾಂಪಿಯನ್ 1.0	c eu y aa q p i y n eu 
ಆದರು 1.0	aa d r u 
ವಿಳಂಬಗಳಿಂದಾಗಿ 1.0	w i lx q b g lx i q d aa g i 
ಹನ್ನೊಂದನೇ 1.0	h n eu n o q d n ee 
ಸಂಪೂರ್ಣಗೊಳ್ಳುವುದೆಂದು 1.0	s q p uu r eu nx g o lx eu lx u w u d e q d u 
ಅಂದಾಜುಮಾಡಲಾಯಿತು 1.0	a q d aa j u m aa dx l aa y i t u 
ನಾಡಿಗಳು 1.0	n aa dx i g lx u 
ಪನ್ನಾ 1.0	p n eu n aa 
ಜಿಲ್ಲೆಯಲ್ಲಿ 1.0	j i l eu l e y l eu l i 
ವಜ್ರದ 1.0	w j eu r d 
ಗಣಿಗಳಿವೆ 1.0	g nx i g lx i w e 
ಹೈನುಗಾರಿಕೆಯು 1.0	h ai n u g aa r i k e y u 
ಅಂಕೋಲಮ್ 1.0	a q k ii m eu 
ಎಂಬುವುದು 1.0	e q b u w u d u 
ಮಲೆಯಾಳಮ್ 1.0	m l e y aa lx m eu 
ರಾಜ್ಯಗಳು 1.0	r aa j eu y g lx u 
ನ್ಯಾಯಾಲಯವನ್ನು 1.0	n eu y aa y aa l y w n eu n u 
ಅವಲಂಬಿಸದೇ 1.0	a w l q b i s d ee 
ತೀರ್ಪನ್ನೂ 1.0	t ii r eu p n eu n uu 
ತಿರಸ್ಕರಿಸಬಹುದಾಗಿದೆ 1.0	t i r s eu k r i s b h u d aa g i d e 
ಹೋಮೋಲೆಸಿತಲ್ 1.0	h ii ii e s i t l eu 
ಎನ್ನುವರು 1.0	e n eu n u w r u 
ಪೊದೆ 1.0	p o d e 
ಒಂಭೈನೂರ 1.0	o q bh ai n uu r 
ಹರಿನಾಲ್ಕರಲ್ಲಿ 1.0	h r i n aa l eu k r l eu l i 
ಪ್ರಾಣ 1.0	p eu r aa nx 
ಧಾರ್ಮಿಕ 1.0	dh aa r eu m i k 
ತೀರಪ್ರದೇಶ 1.0	t ii r p eu r d ee sh 
ಹಿತಕರವಾದ 1.0	h i t k r w aa d 
ವಾಯುಗುಣವನ್ನು 1.0	w aa y u g u nx w n eu n u 
ಪದರಗಳನ್ನು 1.0	p d r g lx n eu n u 
ಒಳಪಡಿಸುವುದು 1.0	o lx p dx i s u w u d u 
ಇಪ್ಪತ್ತರ 1.0	i p eu p t eu t r 
ಸೊಯೆಜ್ 1.0	s o y e j eu 
ವಿಮಾನಗಳ 1.0	w i m aa n g lx 
ಜಾಗಗಳಲ್ಲಂತೂ 1.0	j aa g g lx l eu l q t uu 
ಸುಣ್ಣಕಲ್ಲುಗಳ 1.0	s u nx eu nx k l eu l u g lx 
ಇವೇ 1.0	i w ee 
ತುಂಬಿಕೊಂಡಿವೆ 1.0	t u q b i k o q dx i w e 
ಯುದ್ಧೋಪಕರಣಗಳು 1.0	y u d eu dh ii k r nx g lx u 
ಗೆರಿಲ್ಲಾ 1.0	g e r i l eu l aa 
ಸಂದರ್ಭಗಳು 1.0	s q d r eu bh g lx u 
ಇಂಚುಗಳಿಗೆ 1.0	i q c u g lx i g e 
ಅಡಿ 1.0	a dx i 
ದ್ರಾವಣಗಳ 1.0	d eu r aa w nx g lx 
ಬಳಸುವುದಾದರೆ 1.0	b lx s u w u d aa d r e 
ದ್ರಾವಕವನ್ನು 1.0	d eu r aa w k w n eu n u 
ಆವಿಯಾಗಿಸಬೇಕು 1.0	aa w i y aa g i s b ee k u 
ಕಲೆ 1.0	k l e 
ದೃಗ್ಗೋಚರ 1.0	d rq g eu g ii r 
ಕಲೆಗಳಲ್ಲಿನ 1.0	k l e g lx l eu l i n 
ವ್ಯವಸ್ಥಿತ 1.0	w eu y w s eu th i t 
ವರುಣನಾಗಿ 1.0	w r u nx n aa g i 
ಉದಾತ್ತನಾಗಿ 1.0	u d aa t eu t n aa g i 
ಕಾಣಿಸುತ್ತಾನೆ 1.0	k aa nx i s u t eu t aa n e 
ರ‍್ಯಾಂಪ್‌ನಲ್ಲಿಗೆ 1.0	r eu y aa q p eu n l eu l i g e 
ನಷ್ಟವಾಗಿಲ್ಲವೆಂದು 1.0	n sx eu tx w aa g i l eu l w e q d u 
ತಕ್ಷಣವೇ 1.0	t k eu sx nx w ee 
ವರದಿಮಾಡಲಾಗಿತ್ತು 1.0	w r d i m aa dx l aa g i t eu t u 
ಅವರಿರುವ 1.0	a w r i r u w 
ಹರಡಬಹುದು 1.0	h r dx b h u d u 
ಆರನೇ 1.0	aa r n ee 
ಪ್ರವರ್ಧಮಾನಕ್ಕೆ 1.0	p eu r w r eu dh m aa n k eu k e 
ರಾಜ್ಯವಾಗಿತ್ತು 1.0	r aa j eu y w aa g i t eu t u 
ಉಕ್ಕು 1.0	u k eu k u 
ಕಾರ್ಟೆಲ್ಲು 1.0	k aa r eu tx e l eu l u 
ನಿರ್ಬಂಧಿಸಿತ್ತು 1.0	n i r eu b q dh i s i t eu t u 
ಸರಂಧ್ರವಸ್ತುಗಳನ್ನು 1.0	s r q dh eu r w s eu t u g lx n eu n u 
ಅಂಟಿಸುವುದಕ್ಕೆ 1.0	a q tx i s u w u d k eu k e 
ಯಾಕೆಂದರೆ 1.0	y aa k e q d r e 
ಒಪ್ಪಲ್ಪಡುತ್ತವೆ 1.0	o p eu p l eu p dx u t eu t w e 
ದೇವತೆಯೂ 1.0	d ee w t e y uu 
ಪರತತ್ತ್ವ 1.0	p r t t eu t eu w 
ಸ್ವರೂಪವೆಂದು 1.0	s eu w r uu p w e q d u 
ಪ್ರತಿಪಾದಿಸಿರುವುದು 1.0	p eu r t i p aa d i s i r u w u d u 
ವೈದಿಕ 1.0	w ai d i k 
ಮುಂದುವರಿಯಿರಿ 1.0	m u q d u w r i y i r i 
ನಮ್ಮಲ್ಲಿ 1.0	n m eu m l eu l i 
ಒಣಗಿಸಿ 1.0	o nx g i s i 
ಮಾರಾಟಕ್ಕೆ 1.0	m aa r aa tx k eu k e 
ಮಲಗಿದವರು 1.0	m l g i d w r u 
ಗೊರಕೆ 1.0	g o r k e 
ಮಾಡುವಾಗ 1.0	m aa dx u w aa g 
ಕಂಪಿಸುತ್ತದೆ 1.0	k q p i s u t eu t d e 
ಆಟವಾಡುವ 1.0	aa tx w aa dx u w 
ತಂತ್ರದಲ್ಲಿ 1.0	t q t eu r d l eu l i 
ಅಮೂಲ್ಯ 1.0	a m uu l eu y 
ಖ್ಯಾತಿಯನ್ನು 1.0	kh eu y aa t i y n eu n u 
ತಂದುಕೊಟ್ಟಿತು 1.0	t q d u k o tx eu tx i t u 
ಹಾರಾಟದ 1.0	h aa r aa tx d 
ಚಲನಶಕ್ತಿಯನ್ನು 1.0	c l n sh k eu t i y n eu n u 
ಎದುರಿಸಲು 1.0	e d u r i s l u 
ಮತ್ತೆಲ್ಲವೂ 1.0	m t eu t e l eu l w uu 
ಅಸತ್ಯ 1.0	a s t eu y 
ಅದನು 1.0	a d n u 
ಕಾರ್ಯವ್ಯಾಪ್ತಿ 1.0	k aa r eu y w eu y aa p eu t i 
ಪ್ರಕಾರದ್ದಿರುತ್ತದೆ 1.0	p eu r k aa r d eu d i r u t eu t d e 
ಆಡಳಿತದ 1.0	aa dx lx i t d 
ಕಾರ್ಯಭಾರವನ್ನು 1.0	k aa r eu y bh aa r w n eu n u 
ದೊಡ್ಡದಾದ 1.0	d o dx eu dx d aa d 
ಡ್ರಾಯರ್ 1.0	dx eu r aa y r eu 
ಗೋಡೆಗಳಿಗೆ 1.0	g ii e g lx i g e 
ಕಟ್ಟಲಾಗಿರುವ 1.0	k tx eu tx l aa g i r u w 
ಬಲೆಗಳಲ್ಲಿ 1.0	b l e g lx l eu l i 
ವೈಯಕ್ತಿಕವಾಗಿ 1.0	w ai y k eu t i k w aa g i 
ಅಗತ್ಯವಿರುವ 1.0	a g t eu y w i r u w 
ಶೇಖರಿಸಿಟ್ಟುಕೊಳ್ಳಬಹುದು 1.0	sh ee kh r i s i tx eu tx u k o lx eu lx b h u d u 
ನಲ್ವತ್ನಾಲ್ಕು 1.0	n l eu w t eu n aa l eu k u 
ಗಂಗಾಷ್ಟಮಿಯಂದು 1.0	g q g aa sx eu tx m i y q d u 
ಜಾತ್ರೆ 1.0	j aa t eu r e 
ನಡೆಯುವುದು 1.0	n dx e y u w u d u 
ಸೇವೆಸಲ್ಲಿಸುವ 1.0	s ee w e s l eu l i s u w 
ಸೂಕ್ಷ್ಮಗುರುತ್ವ 1.0	s uu k eu sx eu m g u r u t eu w 
ಪರಿಸರವನ್ನು 1.0	p r i s r w n eu n u 
ಪ್ರಯೋಗಾಲಯದಂತೆ 1.0	p eu r y ii aa l y d q t e 
ಸೇವೆಸಲ್ಲಿಸುತ್ತದೆ 1.0	s ee w e s l eu l i s u t eu t d e 
ಹರಡಿದವು 1.0	h r dx i d w u 
ಮೊಟ್ಟೆಯನ್ನು 1.0	m o tx eu tx e y n eu n u 
ಪರೀಕ್ಷಿಸಿದರೆ 1.0	p r ii k eu sx i s i d r e 
ಬಣ್ಣದಲ್ಲಿ 1.0	b nx eu nx d l eu l i 
ಕಾರಣಗಳಿವೆ 1.0	k aa r nx g lx i w e 
ಮೊಟ್ಟೆಯಲ್ಲಿರುವ 1.0	m o tx eu tx e y l eu l i r u w 
ಪಟಲಗಳನ್ನು 1.0	p tx l g lx n eu n u 
ದೇಹದಲ್ಲಿ 1.0	d ee h d l eu l i 
ರೀತಿಗಳನ್ನನುಸರಿಸಿ 1.0	r ii t i g lx n eu n n u s r i s i 
ಅಂತರಜಾಲದ 1.0	a q t r j aa l d 
ಇದಲ್ಲದೆ 1.0	i d l eu l d e 
